rainfall_mm,avg_temp,elevation_m,fertilizer_kg,tree_age_yrs,irrigation,soil_quality,yield_kg_per_ha
889.8200229091035,23.48109717380046,1055.076763415373,90.71871542941211,8.227123523357392,0,2,1116.8245472671895
1321.6497843263223,23.841375534035038,1753.498175617362,103.30085201055982,5.792652240593738,0,0,983.7869551606029
920.21052632104,27.004495416356036,1440.5815311444517,134.63571394293234,9.624959781764133,0,1,1659.9761837486321
1935.0696615840009,22.23206486966707,1099.560889589255,79.70845984527543,14.456292146808682,0,1,1308.1216445991342
822.5749687554987,25.670014540681414,1670.6755738693141,47.11935747265025,14.644801178232326,1,2,1642.3733440534122
1379.7465720466894,23.08333832613306,1063.0401454205237,33.811144796455025,13.479563717169096,1,1,1337.9248023112216
1723.9232055187908,18.405075745842566,1912.9325295933268,125.98233980911519,13.620910819116034,1,1,1270.1648628418516
1263.932002539562,26.19690967873997,1023.2648125770638,42.10822914137971,8.4322354425806,1,2,1384.1793563841577
1902.6337986175695,21.260798819453836,1079.6981883794986,52.71961765668594,2.7217780715267135,1,0,866.0245933443007
1711.0141304429712,27.47650347829022,1809.4003708028843,42.44951269209294,6.710958638482187,1,0,1158.6122251572722
1773.4039886884048,21.89506752197768,1837.099372394642,145.11663300155556,5.351285930270949,1,0,1004.892875354827
1223.5490341247125,20.31790438171,1646.0693975648605,41.227467357281924,6.873652511122291,0,0,860.044424987234
1589.8243360059842,18.77773335998434,929.6414404231857,102.29523593221057,4.414025274874066,0,1,1382.8408978295454
1939.8219466005778,20.654409338101086,1617.0228123235468,30.44839213888618,11.873369518670701,0,1,1032.5411462345257
1723.614480740936,22.181554341323075,1028.3830911557222,148.35869460350784,3.174140826869543,0,1,1054.3762830976834
1415.1491736294922,24.759807701941458,1898.3831555490306,137.7577932919095,3.950178591353154,1,2,1184.1836355681141
867.7161737567957,25.502416428410807,1541.1400769001616,35.395015506945796,11.472134462313774,0,1,982.3580702176075
1355.2042325898417,23.61476773900998,1928.2913078257427,58.45667441320289,4.5496114428909475,0,0,1210.6627691118429
1046.7685034350593,27.410681213492573,1617.340051778067,62.04505343798238,10.941376055937049,1,1,1334.7902618474384
1299.8964792260253,25.432944811578146,848.1098805357734,100.2573391632463,2.358795143745593,0,1,1099.7626977062919
801.130856042642,21.5772707768538,1799.7079690169635,57.5905463570286,4.10652013955367,1,1,1174.40987003174
1258.9419418335099,20.731016934379,1784.182662838274,48.00124613875532,8.134055391289774,1,1,1623.4189566137281
1497.1847307620653,18.53399516724001,1960.4072210547872,136.75467715236076,9.770763347697788,1,1,1408.290245386671
1904.6710852245394,25.919419431852,1608.103521127217,146.0768623067258,9.382929816177569,1,1,1247.1865270140179
1151.2544997820971,24.559945456661836,1616.2684128164333,142.3800014679627,3.747549621955191,0,2,1461.1642271684382
1425.6146666751147,19.239244464746406,1981.8975090589413,140.21731631985944,6.076717644000407,1,1,952.0141964213977
1108.782906873357,18.657746672100096,1569.1686791508673,99.03549316102328,11.702545401132886,0,0,1058.4501797837165
1317.6487338794736,26.50277452039055,1901.0929339549841,56.55252813440194,11.62071921184744,0,1,1279.3297624983757
1009.5558109262296,21.55215291517323,1134.250003799567,32.56111005168458,8.109720767234903,1,1,1341.625290090072
874.9729926344042,19.436281859613146,1531.5188130253014,67.04307344422492,9.615980155061367,0,1,950.8518805689118
